,index,pl_name,hostname,sy_snum,sy_pnum,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
3514,23952,Kepler-645 b,Kepler-645,1,1,1.21,0.36,-0.16,0.0,1.13,0.14,-0.09,0.0
3515,23962,Kepler-646 b,Kepler-646,1,1,0.74,0.33,-0.05,0.0,0.8,0.1,-0.07,0.0
3516,23972,Kepler-647 b,Kepler-647,1,2,1.49,0.07,-0.07,0.0,,,,
3517,23982,Kepler-647 c,Kepler-647,1,2,1.05,0.18,-0.12,0.0,0.93,0.07,-0.07,0.0
3518,23990,Kepler-648 b,Kepler-648,1,1,0.86,0.25,-0.25,0.0,0.97,0.04,-0.04,0.0
3519,24000,Kepler-649 b,Kepler-649,1,1,1.01,0.19,-0.15,0.0,0.81,0.07,-0.03,0.0
3520,24010,Kepler-65 b,Kepler-65,1,4,1.51,0.06,-0.05,0.0,1.17,0.16,-0.15,0.0
3521,24023,Kepler-65 c,Kepler-65,1,4,1.51,0.06,-0.05,0.0,1.17,0.16,-0.15,0.0
3522,24037,Kepler-65 d,Kepler-65,1,4,1.51,0.06,-0.05,0.0,1.17,0.16,-0.15,0.0
3523,24051,Kepler-65 e,Kepler-65,1,4,1.44,0.03,-0.03,0.0,1.25,0.02,-0.02,0.0
3524,24052,Kepler-650 b,Kepler-650,1,1,1.57,0.74,-0.49,0.0,1.03,0.27,-0.14,0.0
3525,24060,Kepler-651 b,Kepler-651,1,1,0.87,0.35,-0.35,0.0,0.92,0.06,-0.06,0.0
3526,24069,Kepler-652 b,Kepler-652,1,1,0.89,0.13,-0.06,0.0,0.86,0.06,-0.04,0.0
3527,24079,Kepler-653 b,Kepler-653,1,2,1.09,0.25,-0.09,0.0,1.08,0.06,-0.07,0.0
3528,24089,Kepler-653 c,Kepler-653,1,2,1.09,0.25,-0.09,0.0,1.08,0.06,-0.07,0.0
3529,24098,Kepler-654 b,Kepler-654,1,1,1.17,0.18,-0.18,0.0,0.98,0.08,-0.07,0.0
3530,24108,Kepler-655 b,Kepler-655,1,1,1.14,0.56,-0.13,0.0,1.21,0.23,-0.21,0.0
3531,24118,Kepler-656 b,Kepler-656,1,1,0.96,0.34,-0.07,0.0,1.04,0.15,-0.11,0.0
3532,24128,Kepler-657 b,Kepler-657,1,1,0.92,0.29,-0.29,0.0,1.02,0.05,-0.05,0.0
3533,24137,Kepler-658 b,Kepler-658,1,1,0.54,0.01,-0.01,0.0,0.56,0.02,-0.02,0.0
