,index,pl_name,hostname,sy_snum,sy_pnum,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
805,2019,HD 25171 b,HD 25171,2,1,1.18,0.04,-0.04,0.0,1.09,0.03,-0.03,0.0
806,2021,HD 26161 b,HD 26161,1,1,1.46,0.03,-0.03,0.0,1.13,0.05,-0.05,0.0
807,2022,HD 2638 b,HD 2638,3,1,,,,,0.93,,,0.0
808,2024,HD 2685 b,HD 2685,1,1,1.59,0.06,-0.06,0.0,,,,
809,2026,HD 26965 b,HD 26965,3,1,0.87,0.17,-0.17,0.0,0.78,0.08,-0.08,0.0
810,2027,HD 27442 b,HD 27442,2,1,,,,,1.2,0.1,-0.1,0.0
811,2029,HD 27631 b,HD 27631,1,1,1.0,,,0.0,0.94,0.04,-0.04,0.0
812,2031,HD 27894 b,HD 27894,1,3,,,,,,,,
813,2034,HD 27894 c,HD 27894,1,3,,,,,0.8,,,0.0
814,2035,HD 27894 d,HD 27894,1,3,,,,,0.8,,,0.0
815,2036,HD 27969 b,HD 27969,1,1,1.27,0.1,-0.1,0.0,1.16,0.07,-0.07,0.0
816,2037,HD 28185 b,HD 28185,1,1,1.08,0.03,-0.03,0.0,1.02,0.05,-0.05,0.0
817,2042,HD 28254 b,HD 28254,2,1,1.48,0.06,-0.06,0.0,1.06,,,0.0
818,2043,HD 285507 b,HD 285507,1,1,0.66,0.05,-0.05,0.0,0.73,0.03,-0.03,0.0
819,2045,HD 285968 b,HD 285968,1,1,0.48,0.01,-0.01,0.0,0.51,0.01,-0.01,0.0
820,2048,HD 28678 b,HD 28678,1,1,6.48,,,0.0,1.53,,,0.0
821,2051,HD 29021 b,HD 29021,1,1,0.85,0.09,-0.09,0.0,0.85,0.08,-0.08,0.0
822,2052,HD 290327 b,HD 290327,1,1,1.0,0.01,-0.01,0.0,0.9,,,0.0
823,2054,HD 2952 b,HD 2952,1,1,10.76,0.58,-0.58,0.0,1.97,0.38,-0.38,0.0
824,2056,HD 30177 b,HD 30177,1,2,1.02,0.03,-0.03,0.0,1.05,0.02,-0.02,0.0
825,2061,HD 30177 c,HD 30177,1,2,,,,,0.99,0.03,-0.03,0.0
826,2062,HD 30562 b,HD 30562,1,1,1.53,0.04,-0.04,0.0,1.23,0.03,-0.03,0.0
827,2065,HD 30669 b,HD 30669,1,1,0.91,0.04,-0.04,0.0,0.92,0.03,-0.03,0.0
828,2066,HD 30856 b,HD 30856,2,1,4.4,,,0.0,1.17,,,0.0
829,2069,HD 31253 b,HD 31253,1,1,1.75,0.04,-0.04,0.0,1.7,0.25,-0.25,0.0
830,2072,HD 31527 b,HD 31527,1,3,,,,,0.96,,,0.0
831,2073,HD 31527 c,HD 31527,1,3,,,,,0.96,,,0.0
832,2074,HD 31527 d,HD 31527,1,3,,,,,0.96,,,0.0
833,2075,HD 3167 b,HD 3167,1,3,0.86,0.04,-0.04,0.0,0.86,0.03,-0.03,0.0
834,2083,HD 3167 c,HD 3167,1,3,0.83,0.03,-0.03,0.0,0.88,0.03,-0.03,0.0
835,2091,HD 3167 d,HD 3167,1,3,0.86,0.04,-0.04,0.0,0.86,0.03,-0.03,0.0
836,2092,HD 32518 b,HD 32518,1,1,10.22,0.87,-0.87,0.0,1.13,0.18,-0.18,0.0
837,2093,HD 32963 b,HD 32963,1,1,,,,,0.94,,,0.0
838,2095,HD 330075 b,HD 330075,1,1,0.84,0.01,-0.01,0.0,0.47,0.04,-0.04,0.0
839,2097,HD 331093 b,HD 331093,1,1,,,,,1.03,0.08,-0.08,0.0
840,2098,HD 33142 b,HD 33142,1,2,4.45,,,0.0,1.41,,,0.0
841,2101,HD 33142 c,HD 33142,1,2,,,,,1.62,0.09,-0.09,0.0
842,2102,HD 332231 b,HD 332231,1,1,1.28,0.04,-0.04,0.0,1.13,0.08,-0.08,0.0
843,2104,HD 33283 b,HD 33283,2,1,1.97,0.13,-0.13,0.0,1.38,0.24,-0.24,0.0
844,2107,HD 33564 b,HD 33564,1,1,,,,,1.25,0.03,-0.04,0.0
845,2108,HD 33844 b,HD 33844,1,2,5.29,0.41,-0.41,0.0,1.78,0.18,-0.18,0.0
846,2110,HD 33844 c,HD 33844,1,2,5.29,0.41,-0.41,0.0,1.78,0.18,-0.18,0.0
847,2111,HD 34445 b,HD 34445,1,6,1.48,0.03,-0.03,0.0,1.11,0.06,-0.06,0.0
848,2115,HD 34445 c,HD 34445,1,6,1.38,0.08,-0.08,0.0,1.07,0.02,-0.02,0.0
849,2116,HD 34445 d,HD 34445,1,6,1.38,0.08,-0.08,0.0,1.07,0.02,-0.02,0.0
850,2117,HD 34445 e,HD 34445,1,6,1.38,0.08,-0.08,0.0,1.07,0.02,-0.02,0.0
851,2118,HD 34445 f,HD 34445,1,6,1.38,0.08,-0.08,0.0,1.07,0.02,-0.02,0.0
852,2119,HD 34445 g,HD 34445,1,6,1.38,0.08,-0.08,0.0,1.07,0.02,-0.02,0.0
853,2120,HD 35759 b,HD 35759,1,1,,,,,1.15,0.08,-0.08,0.0
854,2121,HD 3651 b,HD 3651,1,1,0.87,0.03,-0.05,0.0,0.9,0.11,-0.11,0.0
855,2126,HD 37124 b,HD 37124,1,3,,,,,0.78,,,0.0
856,2131,HD 37124 c,HD 37124,1,3,,,,,0.78,,,0.0
857,2136,HD 37124 d,HD 37124,1,3,,,,,0.78,,,0.0
858,2140,HD 37605 b,HD 37605,1,2,,,,,,,,
859,2146,HD 37605 c,HD 37605,1,2,0.9,0.04,-0.04,0.0,1.0,0.05,-0.05,0.0
860,2149,HD 3765 b,HD 3765,1,1,0.83,0.02,-0.02,0.0,0.85,0.03,-0.03,0.0
861,2150,HD 38283 b,HD 38283,1,1,1.49,0.01,-0.01,0.0,1.37,0.07,-0.07,0.0
862,2152,HD 38529 b,HD 38529,2,2,2.86,0.04,-0.04,0.0,1.53,0.01,-0.01,0.0
863,2158,HD 38529 c,HD 38529,2,2,2.56,,,0.0,1.41,,,0.0
864,2164,HD 38801 b,HD 38801,1,1,2.41,,,0.0,1.29,,,0.0
865,2169,HD 39091 b,HD 39091,1,2,1.1,0.02,-0.02,0.0,1.09,0.04,-0.04,0.0
866,2175,HD 39855 b,HD 39855,1,1,,,,,0.87,0.05,-0.05,0.0
867,2176,HD 40307 b,HD 40307,1,5,0.72,0.06,-0.05,0.0,0.79,0.09,-0.09,0.0
868,2179,HD 40307 c,HD 40307,1,5,0.72,0.06,-0.05,0.0,0.79,0.09,-0.09,0.0
869,2182,HD 40307 d,HD 40307,1,5,,,,,0.77,0.05,-0.05,0.0
870,2185,HD 40307 f,HD 40307,1,5,,,,,0.77,0.05,-0.05,0.0
871,2188,HD 40307 g,HD 40307,1,5,,,,,0.77,0.05,-0.05,0.0
872,2190,HD 40956 b,HD 40956,1,1,8.56,0.33,-0.33,0.0,2.0,0.08,-0.08,0.0
873,2191,HD 40979 b,HD 40979,3,1,1.24,0.05,-0.04,0.0,1.16,0.19,-0.13,0.0
874,2195,HD 41004 A b,HD 41004 A,2,2,,,,,,,,
875,2196,HD 41004 B b,HD 41004 B,2,2,,,,,,,,
876,2198,HD 4113 b,HD 4113,3,1,,,,,0.99,,,0.0
877,2199,HD 42012 b,HD 42012,1,1,0.82,0.08,-0.08,0.0,0.83,0.08,-0.08,0.0
878,2200,HD 4203 b,HD 4203,1,2,1.42,0.05,-0.05,0.0,1.25,0.16,-0.16,0.0
879,2205,HD 4203 c,HD 4203,1,2,1.5,0.06,-0.08,0.0,0.99,0.12,-0.13,0.0
880,2208,HD 4208 b,HD 4208,1,1,0.85,0.03,-0.03,0.0,0.88,0.02,-0.02,0.0
881,2213,HD 42618 b,HD 42618,1,1,0.99,0.02,-0.02,0.0,0.92,0.05,-0.05,0.0
882,2215,HD 4308 b,HD 4308,1,1,1.02,0.01,-0.01,0.0,0.93,0.1,-0.1,0.0
883,2217,HD 4313 b,HD 4313,1,1,4.9,0.1,-0.1,0.0,1.72,0.12,-0.12,0.0
884,2220,HD 43197 b,HD 43197,1,1,1.0,0.01,-0.01,0.0,0.96,,,0.0
885,2221,HD 43691 b,HD 43691,3,1,,,,,1.38,0.05,-0.05,0.0
886,2223,HD 44219 b,HD 44219,1,1,1.32,0.07,-0.07,0.0,1.0,,,0.0
887,2224,HD 45184 b,HD 45184,1,2,,,,,1.03,,,0.0
888,2226,HD 45184 c,HD 45184,1,2,1.08,0.02,-0.02,0.0,1.01,0.05,-0.05,0.0
889,2228,HD 45350 b,HD 45350,1,1,1.26,0.03,-0.03,0.0,1.05,0.05,-0.05,0.0
890,2232,HD 45364 b,HD 45364,1,2,,,,,0.82,0.05,-0.05,0.0
891,2233,HD 45364 c,HD 45364,1,2,,,,,0.82,0.05,-0.05,0.0
892,2234,HD 45652 b,HD 45652,1,1,0.94,0.04,-0.04,0.0,0.92,0.13,-0.13,0.0
893,2237,HD 46375 b,HD 46375,2,1,,,,,0.92,,,0.0
894,2240,HD 47186 b,HD 47186,1,2,,,,,,,,
895,2242,HD 47186 c,HD 47186,1,2,,,,,,,,
896,2243,HD 4732 b,HD 4732,2,2,5.4,0.4,-0.4,0.0,1.74,0.2,-0.14,0.0
897,2244,HD 4732 c,HD 4732,2,2,5.4,0.4,-0.4,0.0,1.74,0.2,-0.14,0.0
898,2245,HD 47366 b,HD 47366,1,2,7.3,0.33,-0.33,0.0,1.81,0.13,-0.13,0.0
899,2247,HD 47366 c,HD 47366,1,2,6.2,0.6,-0.6,0.0,2.19,0.25,-0.25,0.0
900,2249,HD 47536 b,HD 47536,1,1,23.47,1.97,-1.97,0.0,2.1,0.95,-0.95,0.0
901,2251,HD 4760 b,HD 4760,1,1,42.4,9.2,-9.2,0.0,1.05,0.19,-0.19,0.0
902,2252,HD 48265 b,HD 48265,1,1,2.05,0.05,-0.05,0.0,1.28,0.05,-0.05,0.0
903,2255,HD 4917 b,HD 4917,1,1,5.01,,,0.0,1.32,,,0.0
904,2256,HD 49674 b,HD 49674,1,1,,,,,1.0,,,0.0
905,2261,HD 50499 b,HD 50499,1,2,1.42,0.02,-0.02,0.0,1.31,0.07,-0.07,0.0
906,2266,HD 50499 c,HD 50499,1,2,1.43,0.03,-0.03,0.0,1.25,0.03,-0.03,0.0
907,2268,HD 50554 b,HD 50554,1,1,1.15,0.03,-0.03,0.0,1.04,0.05,-0.05,0.0
908,2273,HD 51608 b,HD 51608,1,2,,,,,0.8,,,0.0
909,2274,HD 51608 c,HD 51608,1,2,,,,,0.8,,,0.0
910,2275,HD 52265 b,HD 52265,1,1,,,,,1.2,,,0.0
911,2281,HD 5278 b,HD 5278,1,2,1.19,0.02,-0.02,0.0,1.13,0.04,-0.04,0.0
912,2283,HD 5278 c,HD 5278,1,2,1.19,0.02,-0.02,0.0,1.13,0.04,-0.04,0.0
913,2284,HD 5319 b,HD 5319,1,2,3.85,0.4,-0.4,0.0,1.51,0.11,-0.11,0.0
914,2289,HD 5319 c,HD 5319,1,2,3.85,0.4,-0.4,0.0,1.51,0.11,-0.11,0.0
915,2292,HD 55696 b,HD 55696,1,1,1.52,0.07,-0.07,0.0,1.29,0.2,-0.2,0.0
916,2293,HD 5583 b,HD 5583,1,1,9.09,1.5,-1.5,0.0,1.01,0.1,-0.1,0.0
917,2294,HD 5608 b,HD 5608,1,1,5.09,0.16,-0.16,0.0,1.98,0.26,-0.26,0.0
918,2297,HD 564 b,HD 564,1,1,1.01,0.05,-0.05,0.0,0.96,0.05,-0.05,0.0
919,2298,HD 5891 b,HD 5891,1,1,8.7,0.2,-0.2,0.0,1.91,0.13,-0.13,0.0
920,2300,HD 59686 A b,HD 59686 A,2,1,13.2,0.3,-0.3,0.0,1.9,0.2,-0.2,0.0
921,2301,HD 60292 b,HD 60292,1,1,27.0,1.5,-1.5,0.0,1.7,0.2,-0.2,0.0
922,2302,HD 60532 b,HD 60532,1,2,,,,,1.44,0.03,-0.1,0.0
923,2304,HD 60532 c,HD 60532,1,2,,,,,1.44,0.03,-0.1,0.0
924,2306,HD 62509 b,HD 62509,1,1,,,,,2.0,0.1,0.0,0.0
925,2310,HD 63433 b,HD 63433,1,2,0.91,0.03,-0.03,0.0,0.99,0.03,-0.03,0.0
926,2312,HD 63433 c,HD 63433,1,2,0.91,0.03,-0.03,0.0,0.99,0.03,-0.03,0.0
927,2314,HD 63454 b,HD 63454,1,1,0.77,0.01,-0.01,0.0,0.42,0.03,-0.03,0.0
928,2317,HD 63765 b,HD 63765,1,1,,,,,0.86,0.03,-0.03,0.0
929,2319,HD 64114 b,HD 64114,1,1,,,,,0.95,0.05,-0.05,0.0
930,2320,HD 6434 b,HD 6434,1,1,1.14,0.05,-0.05,0.0,0.89,0.04,-0.04,0.0
931,2323,HD 65216 b,HD 65216,3,2,,,,,0.87,,,0.0
932,2327,HD 65216 c,HD 65216,3,2,,,,,0.87,,,0.0
933,2329,HD 66141 b,HD 66141,1,1,21.4,0.6,-0.6,0.0,1.1,0.1,-0.1,0.0
934,2330,HD 66428 b,HD 66428,1,2,1.16,0.07,-0.06,0.0,1.01,0.16,-0.1,0.0
935,2336,HD 66428 c,HD 66428,1,2,1.17,0.03,-0.03,0.0,1.05,0.04,-0.04,0.0
936,2337,HD 67087 b,HD 67087,1,2,1.55,0.32,-0.32,0.0,1.36,0.04,-0.04,0.0
937,2338,HD 67087 c,HD 67087,1,2,1.55,0.32,-0.32,0.0,1.36,0.04,-0.04,0.0
938,2339,HD 6718 b,HD 6718,1,1,0.95,0.02,-0.02,0.0,1.08,0.21,-0.21,0.0
939,2341,HD 68402 b,HD 68402,1,1,1.02,0.05,-0.05,0.0,1.12,0.05,-0.05,0.0
940,2342,HD 68988 b,HD 68988,1,2,1.19,0.02,-0.02,0.0,1.28,0.09,-0.09,0.0
941,2346,HD 68988 c,HD 68988,1,2,1.26,0.03,-0.03,0.0,1.17,0.05,-0.05,0.0
942,2347,HD 69830 b,HD 69830,1,3,0.89,0.02,-0.02,0.0,0.89,0.04,-0.04,0.0
943,2349,HD 69830 c,HD 69830,1,3,0.89,0.02,-0.02,0.0,0.89,0.04,-0.04,0.0
944,2351,HD 69830 d,HD 69830,1,3,,,,,0.86,0.03,-0.03,0.0
945,2353,HD 70573 b,HD 70573,1,1,,,,,1.0,0.1,-0.1,0.0
946,2354,HD 70642 b,HD 70642,1,1,1.02,0.01,-0.01,0.0,0.96,0.03,-0.03,0.0
947,2358,HD 7199 b,HD 7199,1,1,0.97,0.02,-0.02,0.0,0.77,0.09,-0.09,0.0
948,2360,HD 72490 b,HD 72490,1,1,4.96,,,0.0,1.21,,,0.0
949,2361,HD 72659 b,HD 72659,1,1,1.46,0.02,-0.02,0.0,1.43,0.11,-0.11,0.0
950,2368,HD 72892 b,HD 72892,1,1,1.22,0.06,-0.06,0.0,1.02,0.05,-0.05,0.0
951,2369,HD 73267 b,HD 73267,1,1,0.91,0.03,-0.03,0.0,0.9,0.02,-0.02,0.0
952,2371,HD 73526 b,HD 73526,1,2,1.53,0.03,-0.03,0.0,1.14,0.15,-0.15,0.0
953,2374,HD 73526 c,HD 73526,1,2,,,,,1.01,0.05,-0.05,0.0
954,2375,HD 73534 b,HD 73534,1,1,,,,,1.17,0.07,-0.07,0.0
955,2380,HD 74156 b,HD 74156,1,2,,,,,1.27,,,0.0
956,2385,HD 74156 c,HD 74156,1,2,1.51,0.03,-0.03,0.0,1.15,0.06,-0.06,0.0
957,2391,HD 7449 b,HD 7449,2,1,1.01,,,0.0,1.05,,,0.0
958,2395,HD 75289 b,HD 75289,2,1,1.23,0.02,-0.02,0.0,1.29,0.1,-0.1,0.0
959,2399,HD 75784 b,HD 75784,1,2,3.4,0.26,-0.26,0.0,1.26,0.25,-0.25,0.0
960,2402,HD 75784 c,HD 75784,1,2,3.4,0.26,-0.26,0.0,1.26,0.25,-0.25,0.0
961,2405,HD 75898 b,HD 75898,1,1,1.6,0.18,-0.18,0.0,1.28,0.13,-0.13,0.0
962,2408,HD 76700 b,HD 76700,1,1,1.37,0.03,-0.03,0.0,0.99,0.17,-0.17,0.0
963,2411,HD 76920 b,HD 76920,1,1,7.47,0.6,-0.6,0.0,1.17,0.2,-0.2,0.0
964,2412,HD 77338 b,HD 77338,1,1,0.97,0.02,-0.02,0.0,1.37,0.32,-0.32,0.0
965,2414,HD 7924 b,HD 7924,1,3,0.78,0.02,-0.02,0.0,0.83,0.02,-0.04,0.0
966,2419,HD 7924 c,HD 7924,1,3,0.78,0.02,-0.02,0.0,0.8,0.03,-0.03,0.0
967,2421,HD 7924 d,HD 7924,1,3,0.78,0.03,-0.03,0.0,0.83,0.02,-0.04,0.0
968,2423,HD 79498 b,HD 79498,2,1,,,,,1.06,,,0.0
969,2425,HD 80606 b,HD 80606,2,1,1.04,0.04,-0.04,0.0,1.02,0.06,-0.06,0.0
970,2432,HD 80653 b,HD 80653,1,1,1.22,0.01,-0.01,0.0,1.18,0.04,-0.04,0.0
971,2434,HD 80869 b,HD 80869,1,1,1.06,0.04,-0.04,0.0,1.08,0.05,-0.05,0.0
972,2435,HD 81040 b,HD 81040,1,1,0.86,0.04,-0.04,0.0,0.96,0.04,-0.04,0.0
973,2437,HD 81688 b,HD 81688,1,1,13.0,,,0.0,2.1,,,0.0
974,2439,HD 81817 b,HD 81817,1,1,83.8,7.8,-7.8,0.0,4.3,0.5,-0.5,0.0
975,2440,HD 82886 b,HD 82886,1,1,4.8,0.1,-0.1,0.0,1.06,0.07,-0.07,0.0
976,2442,HD 82943 b,HD 82943,1,2,,,,,1.15,,,0.0
977,2447,HD 82943 c,HD 82943,1,2,1.2,0.03,-0.03,0.0,1.15,0.05,-0.05,0.0
978,2452,HD 8326 b,HD 8326,1,1,,,,,0.8,0.05,-0.05,0.0
979,2453,HD 83443 b,HD 83443,1,1,1.0,0.05,-0.04,0.0,0.95,0.14,-0.1,0.0
980,2459,HD 8535 b,HD 8535,2,1,1.19,0.04,-0.04,0.0,1.13,,,0.0
981,2460,HD 85390 b,HD 85390,1,1,0.8,0.01,-0.01,0.0,0.54,0.04,-0.04,0.0
982,2463,HD 85512 b,HD 85512,1,1,0.71,0.02,-0.02,0.0,0.43,0.1,-0.1,0.0
983,2465,HD 8574 b,HD 8574,1,1,,,,,1.12,0.02,-0.02,0.0
984,2469,HD 86081 b,HD 86081,2,1,1.58,0.04,-0.04,0.0,1.39,0.11,-0.11,0.0
985,2472,HD 86226 b,HD 86226,1,2,1.05,0.03,-0.03,0.0,1.02,0.06,-0.07,0.0
986,2475,HD 86226 c,HD 86226,1,2,1.05,0.03,-0.03,0.0,1.02,0.06,-0.07,0.0
987,2477,HD 86264 b,HD 86264,1,1,1.88,0.12,-0.12,0.0,1.42,0.05,-0.05,0.0
988,2478,HD 8673 b,HD 8673,2,1,1.5,0.06,-0.08,0.0,1.28,0.25,-0.15,0.0
989,2479,HD 86950 b,HD 86950,1,1,8.8,0.6,-0.6,0.0,1.66,0.25,-0.25,0.0
990,2480,HD 87646 b,HD 87646,3,1,1.55,0.22,-0.22,0.0,1.12,0.09,-0.09,0.0
991,2481,HD 87883 b,HD 87883,1,1,0.79,0.03,-0.03,0.0,0.66,0.09,-0.09,0.0
992,2484,HD 88133 b,HD 88133,1,1,2.03,0.15,-0.09,0.0,0.94,0.11,-0.13,0.0
993,2490,HD 89307 b,HD 89307,1,1,1.05,0.04,-0.04,0.0,1.03,0.04,-0.04,0.0
994,2495,HD 89345 b,HD 89345,1,1,1.73,0.05,-0.05,0.0,1.32,0.04,-0.04,0.0
995,2498,HD 89744 b,HD 89744,2,1,2.13,0.1,-0.11,0.0,1.21,0.18,-0.17,0.0
996,2501,HD 90156 b,HD 90156,1,1,,,,,0.84,,,0.0
997,2503,HD 9174 b,HD 9174,1,1,1.67,0.07,-0.07,0.0,1.03,0.05,-0.05,0.0
998,2504,HD 92788 b,HD 92788,1,2,1.11,0.01,-0.01,0.0,1.15,0.08,-0.08,0.0
999,2510,HD 92788 c,HD 92788,1,2,1.14,0.02,-0.02,0.0,1.15,0.07,-0.07,0.0
1000,2512,HD 92987 b,HD 92987,1,1,1.58,0.04,-0.04,0.0,1.08,0.06,-0.06,0.0
1001,2514,HD 93083 b,HD 93083,1,1,,,,,0.7,0.04,-0.04,0.0
1002,2515,HD 9446 b,HD 9446,1,2,1.0,,,0.0,1.0,0.1,-0.1,0.0
1003,2516,HD 9446 c,HD 9446,1,2,1.0,,,0.0,1.0,0.1,-0.1,0.0
1004,2517,HD 94834 b,HD 94834,1,1,4.2,,,0.0,1.11,,,0.0
1005,2518,HD 95086 b,HD 95086,1,1,1.49,0.06,-0.04,0.0,1.77,0.36,-0.22,0.0
1006,2522,HD 95089 b,HD 95089,1,2,4.9,0.1,-0.1,0.0,1.58,0.11,-0.11,0.0
1007,2524,HD 95089 c,HD 95089,1,2,5.08,,,0.0,1.54,,,0.0
1008,2526,HD 95127 b,HD 95127,1,1,41.01,18.22,-18.22,0.0,3.7,4.16,-4.16,0.0
1009,2528,HD 95338 b,HD 95338,1,1,0.87,0.04,-0.04,0.0,0.83,0.02,-0.02,0.0
1010,2530,HD 95544 b,HD 95544,1,1,1.09,0.07,-0.07,0.0,1.09,0.07,-0.07,0.0
1011,2531,HD 95735 c,GJ 411,1,2,0.37,0.01,-0.01,0.0,0.39,0.01,-0.01,0.0
1012,2532,HD 95872 b,HD 95872,1,1,,,,,0.95,0.04,-0.04,0.0
1013,2534,HD 96063 b,HD 96063,1,1,4.75,,,0.0,1.37,,,0.0
1014,2536,HD 96127 b,HD 96127,1,1,35.0,17.0,-17.0,0.0,0.91,0.25,-0.25,0.0
1015,2538,HD 96167 b,HD 96167,2,1,1.86,0.07,-0.07,0.0,1.31,0.09,-0.09,0.0
1016,2542,HD 96992 b,HD 96992,1,1,7.43,1.1,-1.1,0.0,0.96,0.09,-0.09,0.0
1017,2543,HD 97048 b,HD 97048,1,1,2.25,,,0.0,2.4,,,0.0
1018,2544,HD 97658 b,HD 97658,1,1,0.77,0.03,-0.05,0.0,0.86,0.12,-0.09,0.0
1019,2553,HD 98219 b,HD 98219,1,1,3.85,0.15,-0.15,0.0,1.71,0.31,-0.31,0.0
1020,2556,HD 98649 b,HD 98649,1,1,1.0,,,0.0,1.0,0.03,-0.03,0.0
1021,2558,HD 98736 b,HD 98736,2,1,0.93,0.04,-0.04,0.0,0.92,0.13,-0.13,0.0
1022,2559,HD 99109 b,HD 99109,1,1,,,,,0.93,,,0.0
1023,2562,HD 99492 b,HD 99492,2,1,0.96,0.11,-0.11,0.0,0.83,,,0.0
1024,2568,HD 99706 b,HD 99706,1,2,5.52,,,0.0,1.46,,,0.0
1025,2571,HD 99706 c,HD 99706,1,2,,,,,1.72,0.12,-0.12,0.0
1026,2572,HIP 105854 b,HIP 105854,1,1,,,,,2.1,0.1,-0.1,0.0
1027,2573,HIP 107772 b,HIP 107772,1,1,,,,,0.63,0.08,-0.08,0.0
1028,2574,HIP 107773 b,HIP 107773,1,1,11.6,1.4,-1.4,0.0,2.42,0.27,-0.27,0.0
1029,2575,HIP 109384 b,HIP 109384,1,1,,,,,0.78,0.06,-0.06,0.0
1030,2576,HIP 109600 b,HIP 109600,2,1,,,,,0.87,0.06,-0.06,0.0
1031,2577,HIP 114933 b,HIP 114933,1,1,5.27,0.05,-0.05,0.0,1.39,0.09,-0.09,0.0
1032,2578,HIP 116454 b,HIP 116454,2,1,0.72,0.02,-0.02,0.0,0.78,0.03,-0.03,0.0
1033,2580,HIP 12961 b,HIP 12961,1,1,0.65,0.06,-0.06,0.0,0.69,0.19,-0.19,0.0
1034,2582,HIP 14810 b,HIP 14810,1,3,1.0,0.06,-0.06,0.0,0.99,0.04,-0.04,0.0
1035,2587,HIP 14810 c,HIP 14810,1,3,1.0,0.06,-0.06,0.0,0.99,0.04,-0.04,0.0
1036,2590,HIP 14810 d,HIP 14810,1,3,1.0,0.06,-0.06,0.0,0.99,0.04,-0.04,0.0
1037,2592,HIP 35173 b,HIP 35173,1,1,,,,,0.79,0.05,-0.05,0.0
1038,2593,HIP 38594 b,HIP 38594,1,2,,,,,0.61,0.02,-0.02,0.0
1039,2594,HIP 38594 c,HIP 38594,1,2,,,,,0.61,0.02,-0.02,0.0
1040,2595,HIP 41378 b,HIP 41378,1,5,1.34,0.03,-0.03,0.0,1.17,0.07,-0.07,0.0
1041,2597,HIP 41378 c,HIP 41378,1,5,1.4,0.19,-0.19,0.0,1.15,0.06,-0.06,0.0
1042,2599,HIP 41378 d,HIP 41378,1,5,1.35,0.03,-0.03,0.0,1.14,0.03,-0.03,0.0
1043,2602,HIP 41378 e,HIP 41378,1,5,1.4,0.19,-0.19,0.0,1.15,0.06,-0.06,0.0
1044,2604,HIP 41378 f,HIP 41378,1,5,1.4,0.19,-0.19,0.0,1.15,0.06,-0.06,0.0
1045,2607,HIP 4845 b,HIP 4845,1,1,,,,,0.62,0.04,-0.04,0.0
1046,2608,HIP 48714 b,HIP 48714,1,1,,,,,0.58,0.02,-0.02,0.0
1047,2609,HIP 5158 b,HIP 5158,1,2,0.75,0.06,-0.06,0.0,0.43,0.35,-0.35,0.0
1048,2612,HIP 5158 c,HIP 5158,1,2,0.75,0.05,-0.09,0.0,0.78,0.12,-0.07,0.0
1049,2613,HIP 54373 b,HIP 54373,1,2,,,,,0.57,0.03,-0.03,0.0
1050,2614,HIP 54373 c,HIP 54373,1,2,,,,,0.57,0.03,-0.03,0.0
1051,2615,HIP 56640 b,HIP 56640,1,1,4.93,0.05,-0.05,0.0,1.04,0.07,-0.06,0.0
1052,2616,HIP 57274 b,HIP 57274,1,3,0.78,0.05,-0.05,0.0,0.29,0.3,-0.3,0.0
1053,2619,HIP 57274 c,HIP 57274,1,3,0.68,0.03,-0.03,0.0,0.73,0.05,-0.05,0.0
1054,2620,HIP 57274 d,HIP 57274,1,3,0.68,0.03,-0.03,0.0,0.73,0.05,-0.05,0.0
1055,2621,HIP 63242 b,HIP 63242,1,1,,,,,1.54,0.05,-0.05,0.0
1056,2622,HIP 65 A b,HIP 65 A,2,1,0.72,0.01,-0.01,0.0,0.78,0.03,-0.03,0.0
1057,2624,HIP 65407 b,HIP 65407,1,2,,,,,0.93,0.07,-0.07,0.0
1058,2625,HIP 65407 c,HIP 65407,1,2,,,,,0.93,0.07,-0.07,0.0
1059,2626,HIP 65426 b,HIP 65426,1,1,1.77,0.05,-0.05,0.0,1.96,0.04,-0.04,0.0
1060,2627,HIP 65891 b,HIP 65891,1,1,8.93,1.02,-1.02,0.0,2.5,0.21,-0.21,0.0
1061,2628,HIP 67522 b,HIP 67522,1,1,1.38,0.06,-0.06,0.0,1.22,0.05,-0.05,0.0
1062,2629,HIP 67537 b,HIP 67537,1,1,8.69,0.88,-0.88,0.0,2.41,0.16,-0.16,0.0
1063,2630,HIP 67851 b,HIP 67851,1,2,5.87,0.29,-0.29,0.0,1.3,0.18,-0.18,0.0
1064,2633,HIP 67851 c,HIP 67851,1,2,5.92,0.44,-0.44,0.0,1.63,0.22,-0.22,0.0
1065,2636,HIP 70849 b,HIP 70849,2,1,,,,,0.63,0.03,-0.03,0.0
1066,2637,HIP 71135 b,HIP 71135,1,1,,,,,0.66,0.04,-0.04,0.0
1067,2638,HIP 74890 b,HIP 74890,1,1,5.77,0.53,-0.53,0.0,1.74,0.21,-0.21,0.0
1068,2639,HIP 75092 b,HIP 75092,1,1,4.53,0.05,-0.05,0.0,1.28,0.11,-0.1,0.0
1069,2640,HIP 78530 b,HIP 78530,1,1,,,,,2.5,,,0.0
1070,2643,HIP 79098 AB b,HIP 79098 AB,2,1,,,,,3.75,1.25,-1.25,0.0
1071,2644,HIP 79431 b,HIP 79431,1,1,0.48,0.01,-0.01,0.0,0.48,0.02,-0.02,0.0
