,pl_name,sy_snum,sy_pnum,st_mass
308,HAT-P-4 b,2,1,0.56
309,HAT-P-40 b,1,1,1.51
310,HAT-P-41 b,2,1,1.42
311,HAT-P-42 b,1,1,1.18
312,HAT-P-43 b,1,1,1.05
313,HAT-P-44 b,1,2,0.94
314,HAT-P-44 c,1,2,0.94
315,HAT-P-45 b,1,1,1.26
316,HAT-P-46 b,1,1,1.76
317,HAT-P-49 b,1,1,2.22
318,HAT-P-5 b,1,1,
319,HAT-P-50 b,1,1,1.27
320,HAT-P-51 b,1,1,0.98
321,HAT-P-52 b,1,1,0.84
322,HAT-P-53 b,1,1,1.09
323,HAT-P-54 b,1,1,0.65
324,HAT-P-55 b,1,1,1.01
325,HAT-P-56 b,1,1,1.53
326,HAT-P-57 b,3,1,1.47
327,HAT-P-58 b,1,1,1.03
328,HAT-P-59 b,1,1,
329,HAT-P-6 b,1,1,1.29
330,HAT-P-60 b,1,1,
331,HAT-P-61 b,1,1,1.0
332,HAT-P-62 b,1,1,1.02
333,HAT-P-63 b,1,1,0.93
334,HAT-P-64 b,1,1,1.3
335,HAT-P-65 b,1,1,1.21
336,HAT-P-66 b,1,1,1.25
337,HAT-P-67 b,2,1,1.64
338,HAT-P-68 b,1,1,0.68
339,HAT-P-69 b,1,1,1.65
340,HAT-P-7 b,2,1,
341,HAT-P-70 b,1,1,
342,HAT-P-8 b,3,1,1.27
343,HAT-P-9 b,1,1,1.28
344,HATS-1 b,1,1,0.99
345,HATS-10 b,1,1,1.1
346,HATS-11 b,1,1,1.06
347,HATS-12 b,1,1,
348,HATS-13 b,1,1,0.96
349,HATS-14 b,1,1,0.97
350,HATS-15 b,1,1,0.87
351,HATS-16 b,1,1,0.97
352,HATS-17 b,1,1,1.13
353,HATS-18 b,1,1,1.04
354,HATS-2 b,1,1,0.88
355,HATS-22 b,1,1,0.76
356,HATS-23 b,1,1,1.12
357,HATS-24 b,1,1,1.21
358,HATS-25 b,1,1,0.99
359,HATS-26 b,1,1,1.3
360,HATS-27 b,1,1,1.42
361,HATS-28 b,1,1,0.93
362,HATS-29 b,1,1,1.03
363,HATS-3 b,1,1,1.21
364,HATS-30 b,2,1,1.09
365,HATS-31 b,1,1,1.27
366,HATS-32 b,1,1,1.1
367,HATS-33 b,1,1,1.06
368,HATS-34 b,1,1,0.95
369,HATS-35 b,1,1,1.32
370,HATS-36 b,1,1,1.1
371,HATS-37 A b,2,1,0.84
372,HATS-38 b,1,1,0.89
373,HATS-39 b,1,1,1.38
374,HATS-4 b,1,1,1.0
375,HATS-40 b,1,1,1.56
376,HATS-41 b,1,1,1.5
377,HATS-42 b,1,1,1.27
378,HATS-43 b,1,1,0.84
379,HATS-44 b,1,1,0.86
380,HATS-45 b,1,1,1.27
381,HATS-46 b,1,1,0.92
382,HATS-47 b,1,1,0.67
383,HATS-48 A b,2,1,0.73
384,HATS-49 b,1,1,0.71
385,HATS-5 b,1,1,0.94
386,HATS-50 b,1,1,1.17
387,HATS-51 b,1,1,1.19
388,HATS-52 b,1,1,1.11
389,HATS-53 b,1,1,0.96
390,HATS-54 b,1,1,1.1
391,HATS-55 b,1,1,1.2
392,HATS-56 b,1,1,1.57
393,HATS-57 b,1,1,1.03
394,HATS-58 A b,2,1,1.46
395,HATS-59 b,1,2,1.04
396,HATS-59 c,1,2,1.04
397,HATS-6 b,1,1,0.57
398,HATS-60 b,1,1,1.1
399,HATS-61 b,1,1,1.08
400,HATS-62 b,1,1,0.9
401,HATS-63 b,1,1,0.93
402,HATS-64 b,1,1,1.56
403,HATS-65 b,2,1,1.26
404,HATS-66 b,1,1,1.41
405,HATS-67 b,1,1,1.44
406,HATS-68 b,1,1,1.35
407,HATS-69 b,1,1,0.89
408,HATS-7 b,1,1,0.85
409,HATS-70 b,1,1,1.78
410,HATS-71 b,1,1,0.49
411,HATS-72 b,1,1,
412,HATS-8 b,1,1,1.06
413,HATS-9 b,1,1,
414,HD 100546 b,1,1,2.4
415,HD 100655 b,2,1,2.28
416,HD 100777 b,1,1,0.83
417,HD 10180 c,1,6,1.06
418,HD 10180 d,1,6,1.06
419,HD 10180 e,1,6,1.06
420,HD 10180 f,1,6,1.06
421,HD 10180 g,1,6,1.06
422,HD 10180 h,1,6,1.06
423,HD 101930 b,2,1,0.74
424,HD 102117 b,1,1,1.03
425,HD 102195 b,1,1,0.87
426,HD 102272 b,1,1,1.45
427,HD 102329 b,1,2,3.21
428,HD 102329 c,1,2,1.3
429,HD 102365 b,2,1,0.85
430,HD 102843 b,1,1,0.95
431,HD 102956 b,2,1,1.59
432,HD 103197 b,1,1,0.9
