150_01.tab      3 00:15:00 0.007 HD186427      12.7       2.80 4.5
1510_01.tab     2 00:20:00 0.007 HD28099       14.7       2.53 4.5
1517_01.tab     2 00:30:00 0.007 HD28099       15.4       2.80 4.5
151_01.tab      3 00:15:00 0.007 HD28099       14.1       2.62 4.5
1520_01.tab     2 00:26:40 0.007 HD28099       15.5       3.04 4.5
152_00.tab      4 00:19:00 0.007 HD28099  -999999.9 -999999.9  4.5
1534_01.tab     2 00:30:00 0.007 HD28099       15.7       2.53 4.5
1539_01.tab     2 00:20:00 0.007 HD28099       14.4       2.63 4.5
153_01.tab      3 00:09:00 0.007 HD186427      14.2       4.24 4.5
1541_01.tab     2 00:20:00 0.007 HD126053      15.0       2.64 4.5
1542_01.tab     2 00:20:00 0.007 HD28099       14.5       2.84 4.5
1545_01.tab     3 00:45:00 0.007 HD28099       16.3       3.03 4.5
1548_00.tab     4 00:51:36 0.007 N/A           15.4       2.71 4.5
1549_01.tab     2 00:30:00 0.007 HD28099       15.7       2.17 4.5
154_00.tab      6 00:03:30 0.007 N/A      -999999.9 -999999.9  4.5
1550_01.tab     2 00:20:00 0.007 HD28099       14.8       2.04 4.5
1553_01.tab     2 00:30:00 0.007 HD28099       16.2       2.70 4.5
1560_01.tab     2 00:30:00 0.007 HD28099       15.3       2.48 4.5
1562_01.tab     3 00:45:00 0.007 HD186427      15.7       2.10 4.5
1563_01.tab     2 00:30:00 0.007 HD28099       16.6       2.00 4.5
1565_01.tab     3 00:30:00 0.007 HD28099       15.3       1.80 4.5
1567_01.tab     2 00:15:00 0.007 HD28099       14.0       3.23 4.5
156_01.tab      3 00:09:00 0.007 HD28099       13.2       3.10 4.5
1587_01.tab     2 00:20:00 0.007 HD101177      15.2       2.48 4.5
158_01.tab      2 00:15:00 0.007 HD28099       14.2       2.72 4.5
1592_01.tab     3 00:30:00 0.007 HD186427      15.1       2.13 4.5
1593_01.tab     2 00:30:00 0.007 HD101177      17.2       2.26 4.5
