,planet_name,starname,number_stars,number_planets,spectral_type,star_temp,star_radius,star_mass,right_ascencion,declination,distance,alpha,delta,X,Y,Z
211,CoRoT-18 b,CoRoT-18,1,1,,5440.0,1.0,0.95,98.1724172,-0.0316045,764.889,1.7134319147815125,-0.0005516025834465479,-108.73081222747197,757.1212682135653,-0.4219147270541696
215,CoRoT-19 b,CoRoT-19,1,1,,6090.0,1.65,1.21,97.0335983,-0.1707293,790.663,1.6935557753925723,-0.002979788414625155,-96.81732383965063,784.7093950082115,-2.3560049607199036
218,CoRoT-2 b,CoRoT-2,2,1,,5625.0,0.9,0.97,291.7770457,1.3836634,213.283,5.092470129206963,0.02414948206933931,79.10403099060618,-198.0042072392557,5.150173355441789
226,CoRoT-20 b,CoRoT-20,1,2,,,,1.14,97.7204249,0.2268931,844.061,1.7055431609528504,0.003960031645056746,-113.3897966313425,836.403343750948,3.3424995342458543
232,CoRoT-21 b,CoRoT-21,1,1,,6200.0,1.95,1.29,101.0526207,-0.2991544,,1.7637009489839772,-0.005221229251828124,,,
234,CoRoT-22 b,CoRoT-22,1,1,G3 V,5939.0,1.14,1.1,280.6671392,6.2191669,627.158,4.898565681193244,0.10854493913604894,115.40563629188391,-612.6929781138252,67.94122935359027
235,CoRoT-23 b,CoRoT-23,1,1,,5900.0,1.61,1.14,279.7826586,4.3577516,1060.97,4.883128582553229,0.07605711340405093,179.74957851086305,-1042.5202172961153,80.61653958107911
238,CoRoT-24 b,CoRoT-24,1,2,K1 V,4950.0,0.86,0.91,101.922543,-3.7192892,591.555,1.7788839573554989,-0.06491384237386588,-121.95146068404287,577.5748098596163,-38.37314526666267
240,CoRoT-25 b,CoRoT-25,1,1,,6040.0,1.19,1.09,280.6296561,6.5138223,1103.48,4.897911477684389,0.11368764602482984,202.23401927494098,-1077.5430314871273,125.1819761045277
242,CoRoT-26 b,CoRoT-26,1,1,,5590.0,1.79,1.09,279.7504991,6.9697828,1045.18,4.882567293392434,0.12164565800886944,175.7016364958497,-1022.4699292323952,126.82827424585201
244,CoRoT-27 b,CoRoT-27,1,1,,5900.0,1.08,1.05,278.4958319,5.5383811,1010.28,4.860669219735655,0.09666298542522532,148.55944159410637,-994.5293407406255,97.50467229453244
246,CoRoT-28 b,CoRoT-28,1,1,G8/9 IV,5150.0,1.78,1.01,278.6883216,5.5736911,766.183,4.864028798776832,0.09727926118410452,115.1918925667465,-753.8099522385294,74.41621652595077
248,CoRoT-29 b,CoRoT-29,1,1,,5260.0,0.9,0.97,278.9020691,6.4795703,806.507,4.867759396419738,0.11308983584943673,124.00655685075763,-791.7022584335,91.01345449061539
251,CoRoT-3 b,CoRoT-3,1,1,,6740.0,1.56,1.37,292.0552827,0.1218359,768.771,5.097326280957835,0.0021264376021305595,288.67364681901114,-712.5122480987452,1.63474232984775
256,CoRoT-30 b,CoRoT-30,1,1,G3 V,5650.0,0.91,0.98,277.6011767,6.8359338,1032.23,4.845054540825567,0.11930955225836755,135.5693710232572,-1015.8860269589899,122.86292675106289
257,CoRoT-31 b,CoRoT-31,1,1,G2 IV,5700.0,2.15,1.25,94.820735,-4.4222978,2005.76,1.6549340249110254,-0.07718365711370169,-168.0591504464442,1992.7142625784834,-154.6582272868475
258,CoRoT-4 b,CoRoT-4,1,1,,6190.0,1.15,1.19,102.1946233,-0.6727861,726.412,1.783632654420313,-0.011742332606651824,-153.4316611819742,709.9720877866873,-8.529575297293313
261,CoRoT-5 b,CoRoT-5,1,1,F9 V,6100.0,1.19,1.0,101.2772396,0.8152163,882.472,1.767621288351185,0.01422820855092585,-172.55574346067328,865.3460023563129,12.555572017332405
265,CoRoT-6 b,CoRoT-6,1,1,F9 V,6090.0,1.02,1.05,281.0725563,6.6632062,645.294,4.905641544432131,0.11629488692929979,123.09285169122435,-629.0041161567609,74.87535079299624
268,CoRoT-7 b,CoRoT-7,1,2,,5256.0,0.86,0.9,100.9561682,-1.0630076,159.906,1.7620175352871972,-0.018552982593722872,-30.386181859291955,156.96435357031535,-2.966563039455908
277,CoRoT-8 b,CoRoT-8,1,1,K1 V,5080.0,0.77,0.88,291.5885696,1.4262972,322.037,5.0891806007006455,0.024893582251976066,118.4532783428634,-299.3532975311245,8.015826599306513
281,CoRoT-9 b,CoRoT-9,2,1,G3 V,5625.0,0.94,0.99,280.7866461,6.2040783,412.98,4.900651470077095,0.10828159338653251,76.83751762147418,-403.30703959083843,44.63079768773493
285,CoRoTID 223977153 b,CoRoTID 223977153,1,1,G0 VI,5970.0,0.79,1.08,100.1951714,9.2573953,576.683,1.7487356355300565,0.16157202814364824,-100.74447654885202,560.1851301497369,92.77097009851785
286,DE CVn b,DE CVn,2,1,,,,0.51,201.7207198,45.5455449,30.5225,3.5206907300029178,0.7949197181199116,-19.858455741551833,-7.9109591943330235,21.78718583104355
287,DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,L1.5,,,0.07,125.7620668,-49.2003008,,2.194962139773049,-0.8587072419316002,,,
288,DH Tau b,DH Tau,1,1,M0.5,,0.27,0.33,67.4231674,26.5493897,134.846,1.1767562632533046,0.46337426466006953,46.311131236263655,111.38226768296019,60.27199420476287
290,DMPP-1 b,DMPP-1,1,4,F8 V,6196.0,1.26,1.21,86.7761233,-10.6303217,62.5388,1.514529063701567,-0.1855341142112009,3.4566708400598176,61.368226112900075,-11.536626712321517
294,DMPP-2 b,DMPP-2,1,1,F5 V,6500.0,1.78,1.44,27.407731,-34.4590985,137.94,0.4783551464509179,-0.6014247260940393,100.96925146308375,52.35477452922553,-78.04890417538554
295,DMPP-3 A b,DMPP-3 A,2,1,,,,,91.624382,-72.5126648,45.23,1.599147141005027,-1.2655847501549955,-0.38527529790393766,13.585926155301367,-43.13962301003016
297,DP Leo b,DP Leo,2,1,,,,,169.3162193,17.9615717,305.684,2.9551255038137687,0.3134885649980352,-285.74536575533415,53.908375038244266,94.26654181673554
299,DS Tuc A b,DS Tuc A,2,1,G6 V,5542.0,0.87,0.96,354.9154673,-69.196043,44.0622,6.1944434706392695,-1.2076987797015746,15.588057774416857,-1.3869555988307443,-41.18939521076164
302,EPIC 201170410.02,EPIC 201170410,1,1,,3648.0,0.28,0.29,170.1408561,-4.8070039,,2.9695181311068786,-0.08389804521120825,,,
303,EPIC 201238110 b,EPIC 201238110,1,1,,,0.37,,179.7058532,-3.3894613,159.259,3.136458823445588,-0.059157259553927276,-158.97831628967475,0.8161748428812565,-9.415831844610066
305,EPIC 201497682 b,EPIC 201497682,1,1,,,,0.78,168.9366786,0.4880606,253.026,2.9485012689534447,0.008518264419259037,-248.31468175735253,48.55234403568474,2.155316307470546
306,EPIC 201615463 c,K2-166,1,2,,,,1.07,185.1880932,2.2823788,476.882,3.2321419618301217,0.039835024837717156,-474.5515501805709,-43.08814144985428,18.991582651649292
307,EPIC 201754305 d,K2-16,1,3,,,,0.67,175.0972238,4.5574311,334.967,3.056023066411377,0.07954217812778694,-332.6861806718524,28.53750516888114,26.615917750692734
308,EPIC 201757695.02,EPIC 201757695,1,1,,4520.0,0.66,0.73,173.9385102,4.6164303,,3.0357996990037406,0.0805719084238296,,,
309,EPIC 201833600 c,K2-50,1,2,,,,0.61,169.483654,5.988289,257.443,2.9580477906108578,0.10451535961095872,-251.73749028726596,46.731075532802215,26.85778867323596
311,EPIC 201841433 b,EPIC 201841433,1,1,,,0.63,,175.206752,6.1348146,436.488,3.05793469412516,0.10707271376941893,-432.47053520689064,36.264242299869984,46.64670462403363
314,EPIC 205950854 c,K2-168,1,2,,,0.9,,333.1100738,-16.3418863,243.935,5.8138675593713,-0.2852197219215538,208.77057420079018,-105.86920768950067,-68.63557704332159
317,EPIC 206024342 b,EPIC 206024342,1,1,,,,0.93,331.2771441,-14.1218019,369.888,5.781876901148707,-0.246471939469391,314.5721005300659,-172.38632933747994,-90.2467704112009
319,EPIC 206032309 b,EPIC 206032309,1,1,,,,0.22,341.2404563,-13.9011223,161.365,5.955769503442827,-0.24262035385740696,148.3177104734844,-50.374631926514816,-38.76746629806767
320,EPIC 206042996 b,EPIC 206042996,1,1,,,0.67,,337.5136198,-13.6101475,451.769,5.890723935834326,-0.23754188555707495,405.69975387329004,-167.9333660734986,-106.30768376451532
322,EPIC 206215704 b,EPIC 206215704,1,1,,,0.37,,335.0949721,-9.5097112,109.888,5.848510570023538,-0.16597577135378097,98.29949958495008,-45.63959371020394,-18.155120801468357
324,EPIC 206317286 b,EPIC 206317286,1,1,,,,0.71,337.6178427,-7.972456,314.35,5.8925429685953015,-0.13914560667037704,287.85898536679423,-118.54205318941625,-43.59941134049112
326,EPIC 211822797 b,EPIC 211822797,1,1,,3880.0,0.59,0.61,130.4102091,17.6399744,186.197,2.2760875270092713,0.3078756332475112,-115.02771516920906,135.10832541581107,56.424178818008585
334,EPIC 211945201 b,EPIC 211945201,1,1,,,1.48,,136.5741931,19.4020565,181.69,2.3836693428495215,0.3386297675829672,-124.4614764152111,117.8036036806398,60.35650709244695
342,EPIC 212297394 b,EPIC 212297394,1,2,,5171.0,0.8,0.83,207.2061241,-17.6098985,418.395,3.6164290958409726,-0.3073507097670107,-354.6693999723693,-182.3232370835566,-126.57894756875145
348,EPIC 212424622 b,EPIC 212424622,1,1,,,,1.11,202.3313765,-14.3594358,611.804,3.531348700017281,-0.250619433438746,-548.2398810942966,-225.20037001193447,-151.72989336383029
350,EPIC 212499991 b,EPIC 212499991,1,1,,,,0.91,202.488752,-12.7347749,283.29,3.534095420654253,-0.22226375150533162,-255.308375195471,-105.69347623218597,-62.44795222427197
351,EPIC 212587672 b,EPIC 212587672,1,2,,,,0.95,205.4445125,-10.8625468,320.07,3.585683173279647,-0.189587206811974,-283.8450853288812,-135.04989134794766,-60.31831630232775
360,EPIC 212737443 b,EPIC 212737443,1,2,,4581.0,0.67,0.72,204.2215065,-7.3180577,336.25,3.564337691808001,-0.12772420171592344,-304.15077583502216,-136.82802626855175,-42.8305882099068
364,EPIC 220554210 c,K2-282,1,2,,,1.01,,13.4321524,7.9952914,496.289,0.23443528500965838,0.13954415958638697,478.02113618203015,114.16420944071898,69.02969047458203
366,EPIC 220674823 b,EPIC 220674823,1,2,,5496.0,0.98,0.9,13.0800239,10.7947051,244.59,0.22828948329454954,0.18840314577682374,234.02826191404205,54.37407731518632,45.80939250431809
383,EPIC 246851721 b,EPIC 246851721,2,1,F5 V,6202.0,1.59,1.32,78.9198197,16.2786991,372.632,1.3774106988452837,0.2841168972364377,68.74234190506803,351.0253393656786,104.45242446500181
384,EPIC 248847494 b,EPIC 248847494,1,1,,4898.0,2.7,0.9,159.3890808,11.8427484,551.886,2.7818642516872774,0.20669495206529043,-505.5658976458374,190.1396967891074,113.26153733066172
385,EPIC 249893012 b,EPIC 249893012,1,3,G8 IV/V,5430.0,1.71,1.05,228.2482353,-16.7246474,321.296,3.9836832178517474,-0.29190016336510904,-204.90204896072447,-229.55911739792504,-92.46016205470623
388,FU Tau b,FU Tau,1,1,M7.25,2838.0,,0.05,65.8974962,25.0506711,,1.1501282775104518,0.43721669052918966,,,
389,G 264-012 b,G 264-012,1,2,M4.0 V,3326.0,0.3,0.3,326.6719598,66.803848,16.009,5.701501272452558,1.165947100601829,5.268595245694543,-3.464512371662519,14.714861166984969
391,G 9-40 b,G 9-40,1,1,M2.5 V,3348.0,0.31,0.29,134.7188514,21.0747961,27.9276,2.3512875214349727,0.36782458113146016,-18.33625922687496,18.517098955522865,10.04238445769812
