"id","naam","payloadLEO","jaar","massa"
"2272","H-IIA 2024","11000","2002","445000"
"2273","H-IIB","0","2009","531000"
"2274","J-I","1000","1996","0"
"2275","Kaituozhe-1","100","2002","0"
"2276","Kosmos-3M","1500","1967","109000"
"2277","Lambda 4S","26","1966","9400"
"2278","Long March 1","300","1970","81570"
"2279","Long March 1D","740","1995","81650"
"2280","Long March 2A","2000","1974","190000"
"2281","Long March 2E","9200","1990","460000"
"2282","Long March 3","5000","1984","204000"
"2283","Long March 3B","11200","1996","425800"
"2284","Long March 4A","4000","1988","249000"
"2285","M-V","1850","1997","139000"
"2286","Molniya","1800","1960","305000"
"2287","Molniya-M","2400","1965","305000"
"2288","Mu-3C","195","1974","0"
"2289","Mu-3H","300","1977","0"
"2290","Mu-3S","300","1980","0"
"2291","Mu-3SII","770","1985","0"
"2292","Mu-4S","180","1971","0"
"2293","N1","95000","1969","0"
"2294","N-I","1200","1975","131330"
"2295","N-II","2000","1981","132690"
"2296","Naro-1","100","2009","140000"
"2297","NOTS-EV-1 Pilot","0","1958","950"
"2298","Paektusan","700","1998","0"
"2299","Polyot","1400","1963","277000"
"2300","Proton-K","19760","1965","0"
"2301","PSLV-G","3200","1993","295000"
"2302","Rokot","1950","1990","107000"
"2303","Safir","65","2008","26000"
"2304","Saturn I","9000","1961","510296"
"2305","Saturn IB","18600","1966","590299"
"2306","Saturn V","140000","1967","2824334"
"2307","Scout","174","1961","0"
"2308","Shtil'","0","1998","0"
"2309","SLV","40","1979","17000"
"2310","Soyuz","6450","1966","308000"
"2311","Soyuz-FG","6900","2001","305000"
"2312","Soyuz-L","5500","1970","300000"
"2313","Soyuz-M","6600","1971","300000"
"2314","Soyuz-U","0","1973","313000"
"2315","Soyuz-U2","7050","1982","297800"
"2316","Space Shuttle","24400","1981","2030000"
"2317","Sputnik 8K71PS","500","1957","267000"
"2318","Sputnik 8A91","1327","1958","267000"
"2319","Start-1","532","1993","47200"
"2320","Strela","1400","2003","105000"
"2321","Titan II GLV","3600","1964","154360"
"2322","Titan II(23)G","3600","1988","117020"
"2323","Titan IIIA","3100","1964","161730"
"2324","Titan IIIB","3000","1966","156540"
"2325","Titan IIIC","13100","1965","626751"
"2326","Titan IIID","12300","1971","612990"
"2327","Titan IIIE","15400","1974","632970"
"2328","Titan 34D","4515","1982","0"
"2329","Titan IVA","17110","1989","943050"
"2330","Titan IVB","21682","1997","943050"
"2331","Tsyklon-2A","3350","1967","182000"
