,index,planet_name,starname,number_stars,number_planets,spectral_type,star_temp,star_radius,star_mass,right_ascencion,declination,distance,alpha,delta,X,Y,Z
53,290,DMPP-1 b,DMPP-1,1,4,F8 V,6196.0,1.26,1.21,86.7761233,-10.6303217,62.5388,1.514529063701567,-0.1855341142112009,3.4566708400598176,61.368226112900075,-11.536626712321517
54,294,DMPP-2 b,DMPP-2,1,1,F5 V,6500.0,1.78,1.44,27.407731,-34.4590985,137.94,0.4783551464509179,-0.6014247260940393,100.96925146308375,52.35477452922553,-78.04890417538554
55,296,DMPP-3 A b,DMPP-3 A,2,1,K0 V,5138.0,0.91,0.87,91.624382,-72.5126648,45.23,1.599147141005027,-1.2655847501549955,-0.38527529790393766,13.585926155301367,-43.13962301003016
56,299,DS Tuc A b,DS Tuc A,2,1,G6 V,5542.0,0.87,0.96,354.9154673,-69.196043,44.0622,6.1944434706392695,-1.2076987797015746,15.588057774416857,-1.3869555988307443,-41.18939521076164
57,340,EPIC 211945201 b,EPIC 211945201,1,1,G0,6025.0,1.38,1.18,136.5741931,19.4020565,181.69,2.3836693428495215,0.3386297675829672,-124.4614764152111,117.8036036806398,60.35650709244695
58,361,EPIC 212737443 b,EPIC 212737443,1,2,K3,4684.0,0.67,0.69,204.2215065,-7.3180577,336.25,3.564337691808001,-0.12772420171592344,-304.15077583502216,-136.82802626855175,-42.8305882099068
59,367,EPIC 220674823 b,EPIC 220674823,1,2,G5 V,5470.0,0.87,0.94,13.0800239,10.7947051,244.59,0.22828948329454954,0.18840314577682374,234.02826191404205,54.37407731518632,45.80939250431809
60,383,EPIC 246851721 b,EPIC 246851721,2,1,F5 V,6202.0,1.59,1.32,78.9198197,16.2786991,372.632,1.3774106988452837,0.2841168972364377,68.74234190506803,351.0253393656786,104.45242446500181
61,385,EPIC 249893012 b,EPIC 249893012,1,3,G8 IV/V,5430.0,1.71,1.05,228.2482353,-16.7246474,321.296,3.9836832178517474,-0.29190016336510904,-204.90204896072447,-229.55911739792504,-92.46016205470623
62,389,G 264-012 b,G 264-012,1,2,M4.0 V,3326.0,0.3,0.3,326.6719598,66.803848,16.009,5.701501272452558,1.165947100601829,5.268595245694543,-3.464512371662519,14.714861166984969
63,391,G 9-40 b,G 9-40,1,1,M2.5 V,3348.0,0.31,0.29,134.7188514,21.0747961,27.9276,2.3512875214349727,0.36782458113146016,-18.33625922687496,18.517098955522865,10.04238445769812
64,393,GJ 1061 b,GJ 1061,1,3,M5.5 V,2953.0,0.16,0.12,54.0032486,-44.5143104,3.67278,0.9425344948430182,-0.7769212807347541,1.5392711839455477,2.1188776584872655,-2.574939731146807
65,396,GJ 1132 b,GJ 1132,1,2,M4.5 V,3270.0,0.21,0.18,153.7090696,-47.1549358,12.613,2.6827293546971234,-0.8230088882765463,-7.68982777707051,3.799035136619295,-9.247791616906538
66,420,GJ 1214 b,GJ 1214,1,1,M4 V,3250.0,0.21,0.18,258.8313991,4.9606795,14.6427,4.5174601218384876,0.08658019041118606,-2.825619489719324,-14.311579742052583,1.266184455831145
67,423,GJ 1252 b,GJ 1252,1,1,M3,3458.0,0.39,0.38,306.9286462,-56.4622865,20.373,5.356915444878783,-0.9854528026293453,6.762704711521616,-8.997704300926745,-16.981350691209688
68,424,GJ 1265 b,GJ 1265,1,1,M4.5 V,3236.0,0.19,0.18,333.4324675,-17.6870623,10.2525,5.819494390923985,-0.3086974721403611,8.736455264259707,-4.368700582238903,-3.1148933991927077
69,427,GJ 143 b,GJ 143,1,2,K4.5,4640.0,0.69,0.73,51.7501882,-63.500166,16.32,0.9032111726167177,-1.1082869722629576,4.508165156772941,5.718618874750984,-14.605349878883429
70,428,GJ 15 A b,GJ 15 A,2,2,M1,3607.0,0.38,0.38,4.6126677,44.0247296,3.56228,0.08050623866539405,0.7683764838202062,2.5531253598854895,0.20598773160508035,2.475673393147363
71,437,GJ 179 b,GJ 179,1,1,M3.5 V,3370.0,0.38,0.36,73.0245495,6.4752347,12.356,1.274518823560579,0.11301416535438727,3.5844683803676545,11.742259943173302,1.3934324013357082
72,446,GJ 251 b,GJ 251,1,1,M3.0 V,3451.0,0.36,0.36,103.7002499,33.2664632,5.58057,1.8099107958959206,0.5806093133335288,-1.1051240996910814,4.533315316530977,3.06112961014192
73,448,GJ 273 b,GJ 273,1,2,M3.5,3382.0,0.29,0.29,111.852091,5.225807,5.921535,1.9521872631903168,0.0912075382237673,-2.1949040886166413,5.473215236726943,0.5393401250222216
74,450,GJ 3021 b,GJ 3021,2,1,G6 V,5540.0,0.9,0.9,4.0634323,-79.8514218,17.5559,0.07092027256688598,-1.393670222808777,3.0855976058145758,0.21919904724712388,-17.281222873473894
75,452,GJ 3138 b,GJ 3138,1,3,M0,3717.0,0.5,0.68,32.2977385,-16.3392495,28.4712,0.5637018777731346,-0.28517370107983725,23.094251992255344,14.598304258748234,-8.009635892300167
76,464,GJ 3293 b,GJ 3293,1,4,M2.5,3466.0,0.4,0.42,67.1484425,-25.1713396,20.1903,1.1719614092110926,-0.4393227531576325,7.0962382617400115,16.83885203357179,-8.58747220164888
77,470,GJ 3323 b,GJ 3323,1,2,M4,3159.0,0.12,0.16,75.4868824,-6.9485133,5.37484,1.3174946399457592,-0.12127443520361651,1.3370508282071283,5.165113336037841,-0.6502340611461962
78,472,GJ 3341 b,GJ 3341,1,1,M2.5,3526.0,0.44,0.47,78.9471415,-31.2948458,23.619,1.377887554212855,-0.5461980981139188,3.869291096563944,19.808195054157295,-12.268706374614622
79,473,GJ 338 B b,GJ 338 B,2,1,M0.0 V,4005.0,0.58,0.64,138.5916722,52.6835211,6.33256,2.418880995734693,0.9195009047389048,-2.8792372740033723,2.539132969868166,5.036279642247648
80,476,GJ 3470 b,GJ 3470,1,1,M1.5,3652.0,0.48,0.51,119.7735021,15.391209,29.4214,2.0904419682893427,0.2686272729125839,-14.08589469335714,24.62175575647767,7.808680561785836
81,486,GJ 3512 b,GJ 3512,1,1,M5.5 V,3081.0,0.14,0.12,130.3316616,59.4918364,9.48637,2.274716614515061,1.0383284232378103,-3.1168790101646824,3.6711830381135164,8.173046929607247
82,488,GJ 357 b,GJ 357,1,3,M2.5 V,3505.0,0.34,0.34,144.0074644,-21.6650634,9.44181,2.5134044012285206,-0.3781266889833173,-7.099650614767135,5.156785070810828,-3.485728755626178
83,492,GJ 3779 b,GJ 3779,1,1,M4.0 V,3324.0,0.28,0.27,200.7335358,24.4639425,13.743,3.5034611188799096,0.4269763446435729,-11.699049439667386,-4.428529433005292,5.691258056811696
84,493,GJ 393 b,GJ 393,1,1,M2.0 V,3579.0,0.43,0.43,157.2288672,0.8378485,7.03149,2.744161411820918,0.01462321495789571,-6.482750352407308,2.7212547978512585,0.10281932519927119
85,494,GJ 3942 b,GJ 3942,1,1,M0,3867.0,0.61,0.63,242.2645452,52.9441443,16.9287,4.228313974586624,0.9240496376859885,-4.747498167932254,-9.029071640188704,13.50992265528637
86,495,GJ 3998 b,GJ 3998,1,2,M1,3722.0,0.49,0.5,259.0020507,11.0561751,18.1459,4.520438554132284,0.19296665817201333,-3.397511818086023,-17.482023654834556,3.479863386366043
87,497,GJ 411 b,GJ 411,1,2,M1.5 V,3601.0,0.39,0.39,165.834471,35.972317,5.675773,2.8943575322530535,0.627835371221129,-4.453735295261516,1.1241176406393492,3.3339167052093917
88,501,GJ 414 A b,GJ 414 A,2,2,K7 V,4120.0,0.68,0.65,167.7745044,30.4451688,11.8893,2.9282175026817137,0.531368436885451,-10.017487069952912,2.170523794143835,6.024469582658849
89,506,GJ 4276 b,GJ 4276,1,1,M4.0,3387.0,0.41,0.41,336.3221454,59.412503,21.3362,5.869928784601101,1.0369437942010087,9.943036227571056,-4.360104904104159,18.367333672648744
90,534,GJ 486 b,GJ 486,1,1,M3.5 V,3340.0,0.33,0.32,191.981531,9.7494181,8.07426,3.3507098189695617,0.17015944599852978,-7.784288923958335,-1.6519792752490703,1.3672911065633242
91,537,GJ 536 b,GJ 536,1,1,M1 V,3685.0,0.5,0.52,210.2597264,-2.6522901,10.4092,3.669724510022444,-0.046291194963049655,-8.981314705870776,-5.239791314613953,-0.4816822328107563
92,554,GJ 625 b,GJ 625,1,1,M2,3499.0,0.31,0.3,246.3557854,54.3033625,6.47249,4.299719586566575,0.9477724705290193,-1.5146508531675216,-3.459619153982785,5.256424155497188
93,580,GJ 685 b,GJ 685,1,1,M0.5,3816.0,0.54,0.55,263.8960378,61.6793482,14.3155,4.605854742577413,1.076507706574038,-0.7221437505914418,-6.752849556309056,12.602026484789592
94,584,GJ 687 b,GJ 687,1,2,M3 V,3413.0,0.42,0.41,264.1041731,68.3336741,4.54939,4.60948738885204,1.1926476030297728,-0.17253252296511612,-1.6707528318070342,4.227974322962247
95,586,GJ 720 A b,GJ 720 A,2,1,M0.5 V,3837.0,0.56,0.57,278.8294172,45.7456038,15.5575,4.866491381556909,0.7984114046228296,1.6664342355134778,-10.728074631818862,11.143034500657045
96,587,GJ 740 b,GJ 740,1,1,M1.0 V,3913.0,0.56,0.58,284.4997178,5.902867,11.1017,4.965456796604718,0.10302446445732011,2.7648524521244746,-10.691108409852571,1.1417244749767181
97,588,GJ 832 b,GJ 832,1,2,M1.5,3657.0,0.48,0.45,323.3912616,-49.0125169,4.96435,5.644242287098305,-0.8554297945943644,2.613748286271206,-1.94175935611279,-3.7473539226316444
98,628,GJ 887 b,GJ 887,1,2,M1 V,3688.0,0.47,0.49,346.4668274,-35.8530693,3.29,6.046986887068905,-0.6257541062306986,2.592576603497926,-0.6240103374725913,-1.9269814876439522
99,633,GJ 9827 b,GJ 9827,1,3,K5 V,4269.0,0.61,0.61,351.7717763,-1.2853435,29.661,6.139575712023956,-0.022433476094107736,29.34827881671254,-4.243909694047265,-0.6653435242593
100,646,GPX-1 b,GPX-1,1,1,F2,7000.0,1.56,1.68,38.3691648,56.025708,655.013,0.6696682570003116,0.9778330703609273,286.98150082796474,227.20737226429196,543.1946781222036
101,654,Gl 378 b,Gl 378,1,1,M1,3879.0,0.56,0.56,150.5865513,48.0824515,14.9545,2.628231129408347,0.8391970911054862,-8.702719412999054,4.906422034961742,11.127747655453518
102,655,Gl 49 b,Gl 49,2,1,M1.5 V,3805.0,0.51,0.52,15.6687321,62.3454386,9.8528,0.27347096475792537,1.088133177169964,4.40313717610067,1.2350736706355023,8.727235752318323
103,656,Gl 686 b,Gl 686,1,1,M1,3663.0,0.42,0.42,264.4764878,18.5959509,8.15728,4.615985506220614,0.32456057074420275,-0.7441795096878734,-7.6954975969913315,2.6012940223014684
104,666,HAT-P-1 b,HAT-P-1,2,1,G0 V,6067.0,1.15,1.12,344.4453632,38.674919,158.979,6.011705681067712,0.6750046744921129,119.56983630303824,-33.28247291803654,99.34613069427922
105,675,HAT-P-11 b,HAT-P-11,1,2,K4,4780.0,0.75,0.81,297.7101763,48.0818635,37.7647,5.196022793127789,0.8391868285694846,11.731649640035661,-22.33585992381477,28.100717504668385
106,687,HAT-P-12 b,HAT-P-12,1,1,K4,4559.0,0.7,0.73,209.3886452,43.49331,142.751,3.6545212750302207,0.7591014620905749,-90.23244366596956,-50.819811932383814,98.25121284861969
107,697,HAT-P-13 b,HAT-P-13,1,2,G4,5653.0,1.56,1.22,129.8823772,47.3519076,246.81,2.266875122457214,0.826446694720126,-107.21873877043714,128.31235126293802,181.5358330188648
108,708,HAT-P-14 b,HAT-P-14,2,1,F,6600.0,1.47,1.39,260.1161719,38.2421682,222.663,4.539883637338554,0.6674517481914733,-30.018311286008693,-172.28426545424185,137.8254128723314
109,716,HAT-P-15 b,HAT-P-15,1,1,G5,5568.0,1.08,1.01,66.248142,39.460602,192.516,1.1562482012287414,0.6887174297190595,59.86636246684207,136.04469065797576,122.35305899226368
110,722,HAT-P-16 b,HAT-P-16,3,1,F8,6158.0,1.24,1.22,9.5730343,42.4630961,226.637,0.1670809679413506,0.7411208375357633,164.86464993725315,27.804963009538135,153.00608158535786
111,730,HAT-P-17 b,HAT-P-17,1,2,K,5246.0,0.84,0.86,324.5359781,30.4881882,92.3831,5.664221359025212,0.5321192670576834,64.84045763598104,-46.18884516123802,46.87155642644833
112,738,HAT-P-18 b,HAT-P-18,1,1,K2,4803.0,0.75,0.77,256.346376,33.0123251,161.4,4.4740882867553715,0.5761737667337663,-31.947828955589088,-131.51780541622554,87.93385629849436
113,742,HAT-P-19 b,HAT-P-19,1,1,K1,4990.0,0.82,0.84,9.5165832,34.7114025,202.078,0.16609571037997803,0.6058282616099909,163.82822601614527,27.464190029950075,115.07192842045193
114,745,HAT-P-2 b,HAT-P-2,1,1,F8,6380.0,1.39,1.33,245.1514324,41.0479601,127.774,4.278699661360305,0.7164220549722607,-40.49340171994249,-87.44101401657575,83.90797674178758
115,756,HAT-P-20 b,HAT-P-20,1,1,K3,4595.0,0.69,0.76,111.9164295,24.3361185,71.0374,1.9533101818511114,0.4247453949805037,-24.158957556149446,60.04753459276538,29.27371786929046
116,761,HAT-P-21 b,HAT-P-21,1,1,G3,5588.0,1.1,0.95,171.2749348,41.0280207,277.278,2.9893115383986157,0.7160740467913886,-206.75471699605214,31.730490704350153,182.01305514589757
117,767,HAT-P-22 b,HAT-P-22,2,1,G5,5302.0,1.04,0.92,155.6814593,50.1287115,81.7647,2.7171540490945465,0.8749110654573454,-47.765584553890776,21.585599018067118,62.75330280826924
118,773,HAT-P-23 b,HAT-P-23,1,1,G0,5905.0,1.2,1.13,306.1239076,16.7621462,364.813,5.342870106690892,0.2925546408906559,205.93121844615703,-282.1548079807551,105.21179863315885
119,781,HAT-P-24 b,HAT-P-24,2,1,F8,6373.0,1.32,1.19,108.8251171,14.2626064,415.344,1.8993566022633832,0.24892944159601535,-129.89243087549892,381.0089337183843,102.32686433206867
120,783,HAT-P-25 b,HAT-P-25,1,1,G5,5500.0,0.96,1.01,48.4354731,25.1973548,300.384,0.8453584803561448,0.4397768040531973,180.33025021928222,203.36430851440963,127.88473847299801
121,788,HAT-P-26 b,HAT-P-26,1,1,K1,5079.0,0.79,0.82,213.1565508,4.0594175,141.837,3.720283633654553,0.07085020108807692,-118.4450959109021,-77.38007926712712,10.040774684770287
