id,planet_name,starname,number_stars,number_planets,spectral_type,star_temp,star_radius,star_mass,right_ascencion,declination,distance,alpha,delta,X,Y,Z
12276,Kepler-1585 b,Kepler-1585,1,1,,5448,0.87,0.91,296.1589897,44.5630457,944.465,5.16894948,0.777771872,296.6620226,-603.9877551,662.7251107
12284,Kepler-1586 b,Kepler-1586,1,1,,6681,1.75,1.45,298.2026236,44.9258585,552.55,5.20461762,0.78410415,184.8857325,-344.7725248,390.2059386
12292,Kepler-1587 b,Kepler-1587,1,1,,5855,1.27,1.02,292.6777294,49.6638666,1026.48,5.108190025,0.866797991,256.1617014,-613.0434713,782.4449344
12300,Kepler-1588 b,Kepler-1588,1,1,,5659,1.44,,288.2327232,48.0021967,924.141,5.030610032,0.837796381,193.4660951,-587.299782,686.7943098
12308,Kepler-1589 b,Kepler-1589,1,1,,6115,1.32,,294.4418236,40.5716114,1513.14,5.138979277,0.708108202,475.5744089,-1046.367015,984.1431356
12315,Kepler-159 b,Kepler-159,1,2,,3894,0.5,0.52,297.0702037,40.868734,373.744,5.184853164,0.713293969,128.6194283,-251.6670468,244.5512579
12338,Kepler-1590 b,Kepler-1590,1,1,,6202,1.07,1.05,291.4079141,48.0178915,771.152,5.086027567,0.838070307,188.2779638,-480.2334696,573.23872
12346,Kepler-1591 b,Kepler-1591,1,1,,5986,1.55,,296.5166659,44.6086233,1419.58,5.175192107,0.778567351,451.2030226,-904.3144338,996.9145468
12353,Kepler-1592 b,Kepler-1592,1,1,,6020,0.83,0.91,293.850623,38.3977379,1639.47,5.12866088,0.670166952,519.5466331,-1175.156735,1018.302424
12361,Kepler-1593 b,Kepler-1593,1,1,,4995,0.77,0.81,300.4882018,44.4606698,638.249,5.244508485,0.775985076,231.1223657,-392.5527364,447.0420419
12371,Kepler-1594 b,Kepler-1594,1,1,,5857,0.97,1.06,293.6230451,47.9619127,976.868,5.124688897,0.837093292,262.1232734,-599.3192875,725.5197245
12379,Kepler-1595 b,Kepler-1595,1,1,,5408,0.86,0.85,285.7227502,43.0094855,845.022,4.986802739,0.750657132,167.4441388,-594.7947981,576.4059239
12387,Kepler-1596 b,Kepler-1596,1,1,,5679,1.7,1.01,285.5575066,49.3300866,2146.23,4.983918694,0.860972431,375.1385262,-1347.452669,1627.865352
12396,Kepler-1597 b,Kepler-1597,1,1,,6484,1.17,1.2,288.1639687,42.4810124,1221.05,5.029410039,0.741433536,280.7276256,-855.6510706,824.6310375
