,xsectmin,satno,diameter,mass,span,cosparId,xsectavg,name,vimpelId,objectClass,depth,height,shape,xsectmax,width
119, 1.0, 49000, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0282, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
120, 1.0, 48999, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0281, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
121, 1.0, 48998, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0280, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
122, 1.0, 48997, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0279, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
123, 1.0, 48996, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0278, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
124, 1.0, 48995, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0277, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
125, 1.0, 48994, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0276, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
126, 1.0, 48993, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0275, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
127, 1.0, 48992, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0274, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
128, 1.0, 48991, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0273, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
129, 1.0, 48967, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0249, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
130, 0.04, 48902, None, 20.0, 1.4,2021, 0.218133333333333, LINCS 1, None, Payload, 0.2, 0.3, Box + 4 Pan, 0.478610809990876, 0.2
131, 0.01, 48901, None, 4.0, 0.5,2021, 0.035, TROPICS Pathfinder, None, Payload, 0.1, 0.3, Box, 0.0435889894354067, 0.1
132, 0.138581929876693, 48900, 0.5, 17.0, 0.5,2021, 0.203193377357845, TUBIN, None, Payload, None, 0.3, Oct Cyl, 0.231840462387393, None
133, 0.0025, 48899, None, 0.284, 0.9,2021, 0.0375, SpaceBEE 110, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
134, 0.04, 48898, None, 10.0, 0.3,2021, 0.08, Tyvak 0211, None, Payload, 0.2, 0.3, Box + 2 Pan, 0.0938083151964686, 0.2
135, 0.0025, 48897, None, 0.284, 0.9,2021, 0.0375, SpaceBEE 109, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
136, 0.0025, 48896, None, 0.284, 0.9,2021, 0.0375, SpaceBEE 105, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
137, 0.0025, 48895, None, 0.284, 0.9,2021, 0.0375, SpaceBEE 108, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
138, 0.0025, 48894, None, 0.284, 0.9,2021, 0.0375, SpaceBEE 107, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
139, 0.0025, 48893, None, 0.284, 0.9,2021, 0.0375, SpaceBEE 106, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
140, 0.04, 48892, None, 11.0, 1.5,2021, 0.154733333333333, Tyvak 0173, None, Payload, 0.2, 0.3, Box + 2 Pan, 0.302238735241144, 0.2
141, 0.0025, 48891, None, 0.284, 0.9,2021, 0.0375, SpaceBEE NZ-8, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
